"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Burundi","BDI","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.20293417608707","2.26921921400716","2.33646853660015","2.40468214386603","2.4738600358048","2.54400221241648","2.61510867370104","2.6871794196585","2.76021445028884","2.83421376559207","2.90314677448904","2.97286895730094","3.04338031402777","3.11468084466953","3.18677054922623","3.25964942769784","3.33331748008438","3.40777470638587","3.48302110660227","3.5590566807336","3.63588142877986","3.63588142877986","3.63588142877986","","",
"Burkina Faso","BFA","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.118510010457","14.118510010457","14.0208778141706","13.9218177662086","13.821329866571","13.7194141152579","13.6160705122691","13.5112990576047","13.4050997512648","13.2974725932492","13.188417583558","13.0779347221914","12.966024009149","12.8526854444311","12.7379190280376","12.6217247599685","12.5041026402238","12.3850526688035","12.2645748457076","12.1426691709362","12.0193356444891","12.0687922164909","12.1182487884928","","",
"Bangladesh","BGD","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9793156971197","23.4382597671093","23.8972038370988","24.3561479070884","24.8150919770777","25.0583740377457","25.2976999311454","25.533069657277","25.7644832161402","25.9919406077353","26.2154418320621","26.4349868891207","26.6505757789111","26.8622085014332","27.0698850566871","27.2736054446728","27.4733696653902","27.6691777188394","27.8610296050204","28.0489253239332","28.2328648755777","28.412848259954","28.7550789931174","","",
"Bulgaria","BGR","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.2850722435891","57.0606243284015","57.8484046494227","58.6484639953008","59.4608531546845","60.2856229162213","61.1228240685598","61.9725074003482","62.8347237002352","63.7095237568683","64.596958358896","65.4970782949666","66.4099343537287","67.3355773238299","68.4095797830221","69.5648680763092","70.7334708542052","71.915438905359","72.9608409929859","74.0096356345795","75.0618228301399","76.1174025796675","77.1763748831615","","",
"Bahrain","BHR","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.4510396571628","6.25820681277549","6.06537396838819","5.87254112400087","5.67970827961357","5.4859501611225","5.29225707900398","5.09862903325787","4.90506602388424","4.71156805088308","7.96210111391416","11.590043207386","15.3806502971193","19.42092118778","23.6922696762402","28.1835449026174","32.8385565802834","37.6573047092383","42.6397892894821","47.7860103210147","53.0959678038381","58.1009517383356","58.1009517383356","","",
"Belarus","BLR","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.4726950155","89.4726950155","89.4726950155","89.4726950155","88.8814761949639","88.2775378359877","87.660899096869","87.0315791359056","86.3895971113946","85.7349721816343","85.0677235049222","84.3878702395558","83.6954315438328","82.9904265760507","82.2728744945069","81.5427944574995","80.8002056233262","81.1016308663699","81.4013135869379","81.6992537850303","81.6415571493129","81.4845423626339","81.4971920918629","","",
"Belize","BLZ","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.032702286543","39.3451723278967","39.6580899947534","39.9714552871131","40.2852682049758","40.5995287483413","40.9142369172099","41.2293927115816","41.5449961314561","41.8610471768337","42.1775458477142","42.4944921440976","43.3607568670395","44.2442667055477","45.1450593148484","46.0631723501684","46.9986434667346","47.9515103197735","48.921810564512","49.9095818561768","50.6743834963451","51.4285561261172","51.4285561261172","","",
"Barbados","BRB","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.2235934720442","49.2235934720442","49.1552404482589","49.0868874244734","49.018534400688","48.9501813769026","48.8818283531171","48.8134753293317","48.7451223055463","48.0017670494118","47.2548049698044","46.5042360667238","45.7500603401698","44.9922777901429","44.2308884166425","43.4658922196694","42.697289199223","41.9250793553032","41.1492626879106","40.839321100017","40.8975154322248","40.9555978152849","40.9555978152849","","",
"Botswana","BWA","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.8297971466833","36.6542817026683","36.4787662586533","36.3032508146384","36.1277353706234","35.3397649310666","34.556895113984","33.7791259193749","33.0064573472396","32.2388893975784","31.4764220703907","30.7190553656769","29.9667892834369","29.2196238236709","28.4775589863785","27.74059477156","27.0087311792154","26.2819682093445","25.5603058619474","24.8437441370243","24.1322830345748","23.4259225545991","23.4259225545991","","",
"Canada","CAN","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.5333386130382","77.5333386130382","77.5333386130382","77.9879379816628","78.4425373502874","78.8967503460042","79.3327334385647","79.709260036581","80.0849696287359","80.4598629267844","80.8339406424815","81.207203487582","81.5796521738408","81.9512874130129","82.3221099168532","82.6921203971168","83.0613195655584","83.429708133933","83.801509852801","84.1725002632602","84.0941232719267","84.0157462805932","84.0157462805932","","",
"Central Europe and the Baltics","CEB","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8499499499499","99.8499499499499","99.8499499499499","99.8499499499499","99.8499499499499","99.8499499499499","99.8499499499499","99.8499499499499","99.8499499499499","99.8499499499499","99.8499499499499","99.8499499499499","99.8499499499499","99.8541625963313","99.8607824692162","99.8674023421011","99.8740222149861","99.880642087871","99.8872619607559","99.8938818336409","99.8998998998999","99.8998998998999","99.8998998998999","","",
"Channel Islands","CHI","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.1182483851523","70.319938992265","70.5216295993777","70.7233202064905","72.8566994754906","75.0033819348539","77.1633675845796","79.3366564246694","81.5232484551217","83.7231436759381","85.9363420871169","88.1628436886598","90.4026484805651","92.6557564628345","94.9221676354664","97.1635703947651","98.770516234221","99.0071775765135","99.0607688665899","99.2422242594236","99.2422242594236","99.2422242594236","99.2422242594236","","",
"China","CHN","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.89467960395","28.1265646882283","28.34825058417","31.3990981090803","34.4731665274878","37.5705153123179","40.6912039364982","43.8352918729539","47.0028385946112","50.1939035743954","53.408546285234","56.6468262000523","59.9088027917758","63.194535533332","66.5040838976461","69.8375073576443","73.1948653862519","76.5762174563965","79.9816230410033","83.4111416129978","83.8437784786243","84.2775337750704","84.7124075023361","","",
"Cote d'Ivoire","CIV","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2312547884649","16.4619511421705","16.692647495876","16.9233438495816","17.1540402032872","17.3165988408153","17.4798064325749","17.6436629785658","17.8081684787882","17.9733229332419","18.1391263419271","18.3055787048436","18.4726800219916","18.640430293371","18.8088295189818","18.9778776988239","19.1475748328976","19.3179209212025","19.488915963739","19.6605599605068","19.832852911506","19.9510032212108","20.0691535309155","","",
"Cameroon","CMR","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.9839314961974","18.8191283770838","18.6543252579703","18.4895221388567","18.3247190197432","18.1599159006296","18.1474751968971","18.1322437575249","18.1142215825128","17.9153472338105","17.7107656744511","17.5004769044344","17.2844809237606","17.0627777324295","16.8353673304413","16.6022497177959","16.3634248944933","16.1188928605335","15.8686536159165","15.6127071606424","15.3510534947111","15.2534361203231","15.1526429934191","","",
"Congo, Rep.","COG","People using safely managed sanitation services, urban (% of urban population)","SH.STA.SMSS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
